Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,regular customer,Previously Canceled reservations,Previously Not Canceled reservations,average price,special requests,booking status,reservation_year,reservation_month,average_price_zscore
INN00001,1,1,2,5,Meal Plan 1,0,Room_Type 1,224.0,Offline,0,0,0,88.0,0,Not_Canceled,2015,10,-0.4399939549758237
INN00002,1,0,1,3,Not Selected,0,Room_Type 1,5.0,Online,0,0,0,106.68,1,Not_Canceled,2018,11,0.09249069072988415
INN00003,2,1,1,3,Meal Plan 1,0,Room_Type 1,1.0,Online,0,0,0,50.0,0,Canceled,2018,2,-1.5232068316790834
INN00004,1,0,0,2,Meal Plan 1,0,Room_Type 1,211.0,Online,0,0,0,100.0,1,Canceled,2017,5,-0.0979267307537417
INN00005,1,0,1,2,Not Selected,0,Room_Type 1,48.0,Online,0,0,0,77.0,0,Canceled,2018,4,-0.7535555771793989
INN00006,1,0,0,2,Meal Plan 2,0,Room_Type 1,5.849324779946859,Offline,0,0,0,100.0,1,Canceled,2016,9,-0.0979267307537417
INN00007,1,1,1,4,Meal Plan 1,0,Room_Type 1,34.0,Online,0,0,0,107.55,1,Not_Canceled,2017,10,0.11729056448598482
INN00008,3,0,1,3,Meal Plan 1,0,Room_Type 4,83.0,Online,0,0,0,105.61,1,Not_Canceled,2018,12,0.061989696570081625
INN00009,1,1,0,4,Meal Plan 1,0,Room_Type 1,121.0,Offline,0,0,0,96.9,1,Not_Canceled,2018,7,-0.18629409701111274
INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44.0,Online,0,0,0,133.44,3,Not_Canceled,2018,10,0.8553006007451268
INN00011,1,0,1,0,Not Selected,0,Room_Type 1,0.0,Online,0,0,0,85.03,0,Not_Canceled,2018,9,-0.524655592970789
INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,35.0,Online,0,0,0,140.4,1,Not_Canceled,2018,4,1.0536995907939346
INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30.0,Online,0,0,0,88.0,0,Canceled,2018,11,-0.4399939549758237
INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95.0,Online,0,0,0,90.0,2,Canceled,2018,11,-0.38298275093881007
INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47.0,Online,0,0,0,94.5,2,Not_Canceled,2017,10,-0.2547075418555293
INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256.0,Online,0,0,0,115.0,1,Canceled,2018,6,0.3296572995238608
INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0.0,Offline,0,0,0,96.0,0,Not_Canceled,2017,10,-0.21194913882776906
INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1.0,Online,0,0,0,96.0,1,Not_Canceled,2017,8,-0.21194913882776906
INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99.0,Online,0,0,0,65.0,0,Canceled,2017,10,-1.095622801401481
INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12.0,Offline,0,0,0,72.0,0,Not_Canceled,2017,10,-0.896083587271933
INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99.0,Online,0,0,0,65.0,0,Canceled,2017,10,-1.095622801401481
INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122.0,Corporate,0,0,0,67.0,0,Not_Canceled,2018,11,-1.0386115973644672
INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2.0,Offline,0,0,0,85.0,0,Not_Canceled,2018,3,-0.5255107610313442
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37.0,Offline,0,0,0,105.0,0,Not_Canceled,2018,10,0.044601279338792474
INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130.0,Online,0,0,0,94.5,1,Not_Canceled,2018,5,-0.2547075418555293
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99.0,Online,0,0,0,114.3,1,Not_Canceled,2018,4,0.309703378110906
INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60.0,Offline,0,0,0,65.0,0,Not_Canceled,2017,9,-1.095622801401481
INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2.0,Aviation,0,0,0,110.0,0,Canceled,2018,5,0.18712928943132665
INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37.0,Online,0,0,0,37.33,0,Canceled,2017,11,-1.8843728092535652
INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56.0,Offline,0,0,0,82.0,0,Not_Canceled,2017,9,-0.6110275670868648
INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3.0,Online,0,0,0,177.5,1,Not_Canceled,2017,9,2.111257425680538
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107.0,Online,0,0,0,87.5,1,Not_Canceled,2018,11,-0.45424675598507713
INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56.0,Online,0,0,0,82.44,1,Not_Canceled,2018,12,-0.5984851021987218
INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2.0,Online,0,0,0,69.5,1,Not_Canceled,2018,1,-0.9673475923182002
INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72.0,Offline,0,0,0,85.5,0,Not_Canceled,2018,10,-0.5112579600220908
INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23.0,Online,0,0,0,115.0,1,Not_Canceled,2018,4,0.3296572995238608
INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34.0,Online,0,0,0,81.0,0,Canceled,2018,6,-0.6395331691053716
INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289.0,Offline,0,0,0,67.0,0,Not_Canceled,2017,10,-1.0386115973644672
INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247.0,Online,0,0,0,63.75,0,Canceled,2018,11,-1.1312548039246144
INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186.0,Online,0,0,0,121.8,1,Canceled,2018,7,0.5234953932497072
INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64.0,Online,0,0,0,93.6,2,Not_Canceled,2018,11,-0.28036258367218564
INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35.0,Online,0,0,0,102.0,1,Not_Canceled,2018,6,-0.04091552671672803
INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96.0,Online,0,0,0,121.8,1,Not_Canceled,2018,4,0.5234953932497072
INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41.0,Online,0,0,0,98.1,1,Canceled,2018,6,-0.15208737458890487
INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55.0,Offline,0,0,0,60.0,1,Not_Canceled,2017,11,-1.2381508114940152
INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146.0,Offline,0,0,0,75.0,0,Not_Canceled,2017,12,-0.8105667812164126
INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32.0,Offline,0,0,0,73.0,0,Not_Canceled,2017,11,-0.8675779852534262
INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55.0,Offline,0,0,0,104.0,0,Not_Canceled,2018,4,0.016095677320285637
INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57.0,Online,0,0,0,79.2,1,Not_Canceled,2018,11,-0.6908432527386837
INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7.0,Online,0,0,0,125.8,2,Not_Canceled,2018,12,0.6375178013237346
INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124.0,Online,0,0,0,87.95,0,Not_Canceled,2018,5,-0.441419235076749
INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169.0,Online,0,0,0,106.0,0,Canceled,2018,4,0.07310688135729931
INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6.0,Online,0,0,0,136.67,1,Not_Canceled,2018,5,0.9473736952649036
INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51.0,Offline,0,0,0,60.0,1,Not_Canceled,2017,11,-1.2381508114940152
INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13.0,Online,0,0,0,89.0,2,Not_Canceled,2018,6,-0.4114883529573169
INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100.0,Online,0,0,0,136.0,1,Not_Canceled,2018,5,0.9282749419125044
INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139.0,Online,0,0,0,94.5,1,Not_Canceled,2018,7,-0.2547075418555293
INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117.0,Online,0,0,0,93.6,2,Not_Canceled,2018,12,-0.28036258367218564
INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39.0,Online,0,0,0,120.6,0,Canceled,2018,4,0.48928867082749894
INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86.0,Online,0,0,0,99.3,1,Not_Canceled,2018,4,-0.11788065216669658
INN00061,2,2,0,1,Meal Plan 1,1,Room_Type 6,2.0,Online,0,0,0,258.000001,1,Not_Canceled,2018,9,4.405958416675941
INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19.0,Online,0,0,0,120.12,2,Not_Canceled,2018,5,0.47560598185861597
INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192.0,Offline,0,0,0,95.0,0,Not_Canceled,2018,6,-0.24045474084627588
INN00064,1,0,0,1,Meal Plan 1,0,Room_Type 1,2.0,Complementary,0,0,0,0.0,1,Not_Canceled,2017,9,-2.948486932604425
INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86.0,Offline,0,0,0,75.0,0,Not_Canceled,2018,12,-0.8105667812164126
INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30.0,Online,0,0,0,157.5,2,Not_Canceled,2018,10,1.5411453853104014
INN00067,2,0,0,2,Meal Plan 1,0,Room_Type 4,179.0,Online,0,0,0,97.7,1,Not_Canceled,2018,6,-0.16348961539630735
INN00068,2,0,0,2,Meal Plan 1,0,Room_Type 4,26.0,Online,0,0,0,142.0,0,Canceled,2018,4,1.0993085540235454
INN00069,2,0,0,1,Meal Plan 1,0,Room_Type 1,55.0,Offline,0,0,0,80.0,0,Not_Canceled,2018,4,-0.6680387711238784
INN00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,74.0,Online,0,0,0,85.5,1,Not_Canceled,2018,4,-0.5112579600220908
INN00071,2,0,0,3,Meal Plan 1,0,Room_Type 1,143.0,Offline,0,0,0,100.0,0,Not_Canceled,2018,8,-0.0979267307537417
INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34.0,Online,0,0,0,88.0,2,Not_Canceled,2018,11,-0.4399939549758237
INN00073,2,0,1,1,Meal Plan 1,1,Room_Type 1,30.0,Online,0,0,0,122.85,1,Not_Canceled,2018,8,0.5534262753691394
INN00074,2,0,0,2,Meal Plan 1,0,Room_Type 1,177.0,Online,0,0,0,100.0,0,Canceled,2018,6,-0.0979267307537417
INN00075,2,0,2,3,Meal Plan 1,0,Room_Type 4,34.0,Offline,0,0,0,75.0,0,Not_Canceled,2017,10,-0.8105667812164126
INN00076,2,0,1,4,Meal Plan 1,0,Room_Type 4,18.0,Online,0,0,0,116.8,1,Not_Canceled,2018,3,0.38096738315717305
INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267.0,Online,0,0,0,121.5,0,Not_Canceled,2018,12,0.5149437126441553
INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64.0,Online,0,0,0,111.9,1,Not_Canceled,2018,6,0.2412899332664898
INN00079,3,0,2,5,Meal Plan 1,0,Room_Type 4,155.0,Online,0,0,0,121.55,2,Canceled,2018,6,0.5163689927450805
INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46.0,Offline,0,0,0,75.0,1,Not_Canceled,2018,3,-0.8105667812164126
INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83.0,Online,0,0,0,159.3,0,Canceled,2018,4,1.592455468943714
INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128.0,Online,0,0,0,132.3,0,Canceled,2018,10,0.8228042144440294
INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20.0,Online,0,0,0,88.0,2,Not_Canceled,2018,12,-0.4399939549758237
INN00084,2,0,1,4,Meal Plan 1,0,Room_Type 4,40.0,Online,0,0,0,98.82,0,Not_Canceled,2018,3,-0.13156334113557996
INN00085,2,0,1,2,Meal Plan 1,1,Room_Type 4,46.0,Online,0,0,0,98.3,1,Not_Canceled,2018,3,-0.1463862541852034
INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1.0,Online,0,0,0,150.0,2,Not_Canceled,2018,10,1.3273533701716
INN00087,2,0,2,3,Not Selected,0,Room_Type 1,196.0,Online,0,0,0,96.05,1,Not_Canceled,2018,9,-0.2105238587268438
INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188.0,Online,0,0,0,130.0,0,Canceled,2018,6,0.7572413298014633
INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17.0,Online,1,0,5,95.0,0,Not_Canceled,2018,12,-0.24045474084627588
INN00090,2,0,0,3,Meal Plan 1,0,Room_Type 5,146.0,Offline,0,0,0,113.56,0,Not_Canceled,2018,8,0.28860923261721105
INN00091,2,0,1,3,Not Selected,0,Room_Type 1,110.0,Online,0,0,0,101.58,1,Not_Canceled,2018,5,-0.05288787956450095
